Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
tof_5,tof_5_1e-08_QuckPartitioner3_QSearch,9,8.147173643112183,7,42,7,36,35,217,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.0,33.0,1.0,6.0,,False,BQSkit
tof_5,tof_5_1e-08_QuckPartitioner3_LEAP,9,8.570662260055542,7,42,7,36,35,217,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.0,37.285714285714285,1.0,6.857142857142857,,False,BQSkit
tof_5,tof_5_OptimizationLevel3,9,0.011410951614379002,0,42,7,36,35,120,"h, ccx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
vbe_adder_3,vbe_adder_3_1e-08_QuckPartitioner3_QSearch,10,10.010681867599487,20,70,15,49,50,290,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.571428571428571,23.428571428571427,1.428571428571428,4.142857142857143,,False,BQSkit
vbe_adder_3,vbe_adder_3_1e-08_QuckPartitioner3_LEAP,10,7.8130433559417725,20,70,15,49,50,290,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.571428571428571,26.642857142857142,1.428571428571428,4.7857142857142865,,False,BQSkit
vbe_adder_3,vbe_adder_3_OptimizationLevel3,10,0.012101650238037,10,58,15,42,50,139,"h, ccx, cx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
mod_red_21,mod_red_21_1e-08_QuckPartitioner3_QSearch,11,14.141783475875854,20,105,17,82,108,542,"HGate, CNOTGate, XGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.684210526315789,30.842105263157894,1.052631578947368,5.578947368421052,,False,BQSkit
mod_red_21,mod_red_21_1e-08_QuckPartitioner3_LEAP,11,9.269272089004517,20,105,17,82,108,542,"HGate, CNOTGate, XGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.684210526315789,32.94736842105263,1.052631578947368,6.0,,False,BQSkit
mod_red_21,mod_red_21_OptimizationLevel3,11,0.014692544937133001,3,105,17,82,108,285,"h, x, ccx, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
adder_8,adder_8_1e-08_QuckPartitioner3_QSearch,24,40.74567270278931,124,409,39,139,330,1744,"XGate, CNOTGate, HGate, CCXGate","RZGate, CNOTGate, SqrtXGate,  XGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.473684210526316,23.463157894736838,1.305263157894737,4.136842105263158,,False,BQSkit
adder_8,adder_8_1e-08_QuckPartitioner3_LEAP,24,22.662452459335327,124,409,39,139,330,1744,"XGate, CNOTGate, HGate, CCXGate","RZGate, CNOTGate, SqrtXGate,  XGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.473684210526316,26.989473684210527,1.305263157894737,4.842105263157895,,False,BQSkit
adder_8,adder_8_OptimizationLevel3,24,0.045886278152465,67,385,39,135,330,1011,"h, cx, ccx, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
qcla_adder_10,qcla_adder_10_1e-08_QuckPartitioner3_QSearch,36,25.62461495399475,63,233,11,45,181,1029,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.022222222222222,26.8,1.4,4.777777777777778,,False,BQSkit
qcla_adder_10,qcla_adder_10_1e-08_QuckPartitioner3_LEAP,36,12.410959005355835,63,233,11,45,181,1029,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.022222222222222,30.8,1.4,5.5777777777777775,,False,BQSkit
qcla_adder_10,qcla_adder_10_OptimizationLevel3,36,0.024277687072753,29,213,11,43,181,540,"h, ccx, cx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
gf2^8_mult,gf2^8_mult_1e-08_QuckPartitioner3_QSearch,24,54.566338539123535,85,405,35,140,243,1711,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.075949367088607,28.645569620253166,1.0759493670886071,5.151898734177215,,False,BQSkit
gf2^8_mult,gf2^8_mult_1e-08_QuckPartitioner3_LEAP,24,25.27148461341858,85,405,35,140,243,1711,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.075949367088607,32.949367088607595,1.0759493670886071,6.012658227848101,,False,BQSkit
gf2^8_mult,gf2^8_mult_OptimizationLevel3,24,0.033349037170410004,21,405,35,140,243,864,"h, ccx, cx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
