Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
qiskit_dtc_43_6.3676_63676,qiskit_dtc_43_6.3676_63676_1e-08_ScanPartitioner3_LEAP,43,4.320069313049316,84,84,4,4,212,384,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.095238095238095,24.428571428571427,2.0,4.2857142857142865,,False,BQSkit
qiskit_dtc_43_6.3676_63676,qiskit_dtc_43_6.3676_63676_OptimizationLevel3,43,0.018760681152343,84,84,4,4,128,383,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_30_6.0636_60636,qiskit_dtc_30_6.0636_60636_1e-08_ScanPartitioner3_QSearch,30,4.064779996871948,58,58,4,4,147,267,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,22.333333333333332,1.9333333333333331,3.8666666666666663,,False,BQSkit
qiskit_dtc_30_6.0636_60636,qiskit_dtc_30_6.0636_60636_1e-08_ScanPartitioner3_LEAP,30,4.042734146118164,58,58,4,4,147,267,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9333333333333345,24.333333333333332,1.9333333333333331,4.266666666666667,,False,BQSkit
qiskit_dtc_30_6.0636_60636,qiskit_dtc_30_6.0636_60636_OptimizationLevel3,30,0.017419338226318002,58,58,4,4,89,266,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_1e-08_ScanPartitioner3_QSearch,5,4.025909185409546,8,8,4,4,22,42,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.0,23.0,2.0,4.0,,False,BQSkit
qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_1e-08_ScanPartitioner3_LEAP,5,12.71246075630188,8,8,4,4,22,42,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.0,25.5,2.0,4.5,,False,BQSkit
qiskit_dtc_5_3.451_34510,qiskit_dtc_5_3.451_34510_OptimizationLevel3,5,0.009213209152221001,8,8,4,4,14,41,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
qiskit_dtc_8_3.2022_32022,qiskit_dtc_8_3.2022_32022_1e-08_ScanPartitioner3_QSearch,8,3.563231706619262,14,14,4,4,37,69,"RXGate, RZZGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.75,20.5,1.75,3.5,,False,BQSkit
qiskit_dtc_8_3.2022_32022,qiskit_dtc_8_3.2022_32022_1e-08_ScanPartitioner3_LEAP,8,3.698235511779785,14,14,4,4,37,69,"RXGate, CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.75,21.75,1.75,3.75,,False,BQSkit
