Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
qiskit_bv_all_ones_42,qiskit_bv_all_ones_42_OptimizationLevel3,42,0.1370050907,41,41,41,41,166,259,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_43,qiskit_bv_all_ones_43_1e-08_ScanPartitioner3_QSearch,43,3.69491291,42,42,42,42,170,298,"measurement, HGate, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,6.095238095,13.23809524,2,2.047619048,,FALSE,BQSkit
qiskit_bv_all_ones_43,qiskit_bv_all_ones_43_1e-08_ScanPartitioner3_LEAP,43,4.047516108,42,42,42,42,170,298,"measurement, HGate, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.095238095,13,2,2,,FALSE,BQSkit
qiskit_bv_all_ones_43,qiskit_bv_all_ones_43_OptimizationLevel3,43,-6.568641901,42,42,42,42,170,265,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_44,qiskit_bv_all_ones_44_1e-08_ScanPartitioner3_QSearch,44,10.14218163,43,43,43,43,174,305,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.954545455,12.72727273,1.954545455,1.954545455,,FALSE,BQSkit
qiskit_bv_all_ones_44,qiskit_bv_all_ones_44_1e-08_ScanPartitioner3_LEAP,44,-2.5470016,43,43,43,43,174,305,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.954545455,12.72727273,1.954545455,1.954545455,,FALSE,BQSkit
qiskit_bv_all_ones_44,qiskit_bv_all_ones_44_OptimizationLevel3,44,0.1466724873,43,43,43,43,174,271,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_45,qiskit_bv_all_ones_45_1e-08_ScanPartitioner3_QSearch,45,3.758948565,44,44,44,44,178,312,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,6.090909091,13.22727273,2,2.045454545,,FALSE,BQSkit
qiskit_bv_all_ones_45,qiskit_bv_all_ones_45_1e-08_ScanPartitioner3_LEAP,45,3.649384975,44,44,44,44,178,312,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.090909091,13.45454545,2,2.090909091,,FALSE,BQSkit
qiskit_bv_all_ones_45,qiskit_bv_all_ones_45_OptimizationLevel3,45,0.1463813782,44,44,44,44,178,277,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_46,qiskit_bv_all_ones_46_1e-08_ScanPartitioner3_QSearch,46,4.001404524,45,45,45,45,182,319,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.956521739,12.95652174,1.956521739,2,,FALSE,BQSkit
qiskit_bv_all_ones_46,qiskit_bv_all_ones_46_1e-08_ScanPartitioner3_LEAP,46,4.334117174,45,45,45,45,182,319,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.956521739,12.95652174,1.956521739,2,,FALSE,BQSkit
